Statename,CourseofStudy,ClassOfGrade,Date of Graduation,MaritalStatus,Gender,DateOfBirth,College,DeptmentCode
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-06-23,COLANIM,ANN
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-04-15,COLANIM,ABG
Ogun State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2000-01-05,COLBIOS,MCB
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-06-28,COLANIM,ANP
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-05-10,COLANIM,ANP
Oyo State,STATISTICS/B.Sc.,Second Class Upper,NA,S,F,1998-07-13,COLPHYS,STS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-01-06,COLANIM,ANN
Ogun State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,M,2000-05-16,COLBIOS,MCB
Osun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,1999-09-24,COLENG,ELE
Osun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2000-04-15,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1999-06-07,COLANIM,ANP
Oyo State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2001-10-31,COLENG,ELE
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2003-05-27,COLPHYS,PHS
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-10-19,COLAMRUD,AEFM
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,M,2001-01-06,COLFHEC,FST
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-01-16,COLPLANT,CPT
Lagos State,STATISTICS/B.Sc.,Second Class Upper,NA,S,F,1996-09-22,COLPHYS,STS
Oyo State,MECHANICAL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2002-09-18,COLENG,MCE
